frame.number	frame.time	tcp.analysis.ack_rtt
196	May 19, 2016 13:16:52.263611000	0.006111000
197	May 19, 2016 13:16:52.263612000	0.005966000
198	May 19, 2016 13:16:52.263613000	0.005831000
199	May 19, 2016 13:16:52.263614000	0.005269000
200	May 19, 2016 13:16:52.263615000	0.005270000
201	May 19, 2016 13:16:52.264067000	0.005334000
202	May 19, 2016 13:16:52.265413000	0.005600000
203	May 19, 2016 13:16:52.265478000	0.005524000
204	May 19, 2016 13:16:52.268781000	0.005457000
205	May 19, 2016 13:16:52.268854000	0.005478000
206	May 19, 2016 13:16:52.276920000	
207	May 19, 2016 13:16:52.276921000	
208	May 19, 2016 13:16:52.287266000	0.010346000
209	May 19, 2016 13:16:52.287287000	0.010366000
210	May 19, 2016 13:16:52.290039000	
211	May 19, 2016 13:16:52.290178000	
212	May 19, 2016 13:16:52.290226000	
213	May 19, 2016 13:16:52.290419000	
214	May 19, 2016 13:16:52.290528000	
215	May 19, 2016 13:16:52.295034000	
216	May 19, 2016 13:16:52.295350000	
217	May 19, 2016 13:16:52.295386000	
218	May 19, 2016 13:16:52.295720000	0.005542000
219	May 19, 2016 13:16:52.295818000	0.005592000
220	May 19, 2016 13:16:52.295869000	0.005450000
221	May 19, 2016 13:16:52.295871000	0.005343000
222	May 19, 2016 13:16:52.297574000	
223	May 19, 2016 13:16:52.297576000	
224	May 19, 2016 13:16:52.297851000	
225	May 19, 2016 13:16:52.297860000	
226	May 19, 2016 13:16:52.297982000	
227	May 19, 2016 13:16:52.298121000	
228	May 19, 2016 13:16:52.299507000	
229	May 19, 2016 13:16:52.299600000	
230	May 19, 2016 13:16:52.299647000	
231	May 19, 2016 13:16:52.299862000	
232	May 19, 2016 13:16:52.299954000	
233	May 19, 2016 13:16:52.300001000	
234	May 19, 2016 13:16:52.300546000	0.005512000
235	May 19, 2016 13:16:52.300539000	
236	May 19, 2016 13:16:52.300637000	0.005287000
237	May 19, 2016 13:16:52.300631000	
238	May 19, 2016 13:16:52.300663000	0.005277000
239	May 19, 2016 13:16:52.300658000	
240	May 19, 2016 13:16:52.300816000	
241	May 19, 2016 13:16:52.300972000	
242	May 19, 2016 13:16:52.301391000	
243	May 19, 2016 13:16:52.302821000	0.005247000
244	May 19, 2016 13:16:52.302821000	0.005245000
245	May 19, 2016 13:16:52.302973000	0.005122000
246	May 19, 2016 13:16:52.302974000	0.005114000
247	May 19, 2016 13:16:52.303043000	
248	May 19, 2016 13:16:52.303053000	
249	May 19, 2016 13:16:52.303933000	0.005951000
250	May 19, 2016 13:16:52.304478000	0.006357000
251	May 19, 2016 13:16:52.304801000	0.005294000
252	May 19, 2016 13:16:52.304836000	0.005189000
253	May 19, 2016 13:16:52.305437000	0.005575000
254	May 19, 2016 13:16:52.305536000	0.005582000
255	May 19, 2016 13:16:52.305578000	0.005577000
256	May 19, 2016 13:16:52.306303000	0.005764000
257	May 19, 2016 13:16:52.306407000	0.005776000
258	May 19, 2016 13:16:52.306447000	0.005789000
259	May 19, 2016 13:16:52.306448000	0.005632000
260	May 19, 2016 13:16:52.306449000	0.005477000
261	May 19, 2016 13:16:52.306869000	0.005478000
262	May 19, 2016 13:16:52.308393000	
263	May 19, 2016 13:16:52.308540000	0.005497000
264	May 19, 2016 13:16:52.308543000	0.005490000
265	May 19, 2016 13:16:52.315040000	0.006647000
266	May 19, 2016 13:16:52.315035000	
267	May 19, 2016 13:16:52.315258000	
268	May 19, 2016 13:16:52.320495000	0.005460000
269	May 19, 2016 13:16:52.320595000	0.005337000
270	May 19, 2016 13:16:52.328461000	
271	May 19, 2016 13:16:52.328634000	
272	May 19, 2016 13:16:52.328693000	
273	May 19, 2016 13:16:52.328990000	
274	May 19, 2016 13:16:52.329897000	
275	May 19, 2016 13:16:52.330062000	
276	May 19, 2016 13:16:52.331982000	
277	May 19, 2016 13:16:52.332191000	
278	May 19, 2016 13:16:52.333274000	
279	May 19, 2016 13:16:52.333276000	
280	May 19, 2016 13:16:52.333757000	
281	May 19, 2016 13:16:52.333790000	
282	May 19, 2016 13:16:52.333958000	0.005497000
283	May 19, 2016 13:16:52.333959000	0.005325000
284	May 19, 2016 13:16:52.333969000	0.005276000
285	May 19, 2016 13:16:52.333985000	
286	May 19, 2016 13:16:52.335450000	0.006460000
287	May 19, 2016 13:16:52.335454000	0.005557000
288	May 19, 2016 13:16:52.335456000	0.005394000
289	May 19, 2016 13:16:52.338615000	0.006633000
290	May 19, 2016 13:16:52.338621000	0.006430000
291	May 19, 2016 13:16:52.338623000	0.005349000
292	May 19, 2016 13:16:52.338624000	0.005348000
293	May 19, 2016 13:16:52.341428000	
294	May 19, 2016 13:16:52.341461000	
295	May 19, 2016 13:16:52.341647000	
296	May 19, 2016 13:16:52.341794000	
297	May 19, 2016 13:16:52.341841000	
298	May 19, 2016 13:16:52.342884000	0.009127000
299	May 19, 2016 13:16:52.342940000	
300	May 19, 2016 13:16:52.343092000	0.009302000
301	May 19, 2016 13:16:52.343097000	
302	May 19, 2016 13:16:52.343124000	0.009139000
303	May 19, 2016 13:16:52.344905000	
304	May 19, 2016 13:16:52.344906000	
305	May 19, 2016 13:16:52.345093000	
306	May 19, 2016 13:16:52.345302000	
307	May 19, 2016 13:16:52.345304000	
308	May 19, 2016 13:16:52.345427000	
309	May 19, 2016 13:16:52.346344000	
310	May 19, 2016 13:16:52.346365000	
311	May 19, 2016 13:16:52.346493000	
312	May 19, 2016 13:16:52.346647000	0.005219000
313	May 19, 2016 13:16:52.346679000	0.005218000
314	May 19, 2016 13:16:52.347415000	0.005621000
315	May 19, 2016 13:16:52.347419000	0.005578000
316	May 19, 2016 13:16:52.348959000	0.006019000
317	May 19, 2016 13:16:52.348962000	0.005865000
318	May 19, 2016 13:16:52.348966000	
319	May 19, 2016 13:16:52.350399000	0.005494000
320	May 19, 2016 13:16:52.350481000	0.005575000
321	May 19, 2016 13:16:52.350484000	0.005391000
322	May 19, 2016 13:16:52.350486000	0.005184000
323	May 19, 2016 13:16:52.350487000	0.005183000
324	May 19, 2016 13:16:52.350489000	0.005062000
325	May 19, 2016 13:16:52.352152000	0.005808000
326	May 19, 2016 13:16:52.352207000	0.005842000
327	May 19, 2016 13:16:52.352237000	0.005744000
328	May 19, 2016 13:16:52.353483000	
329	May 19, 2016 13:16:52.353590000	
330	May 19, 2016 13:16:52.353800000	
331	May 19, 2016 13:16:52.355021000	0.006055000
332	May 19, 2016 13:16:52.358804000	0.005321000
333	May 19, 2016 13:16:52.358809000	0.005219000
334	May 19, 2016 13:16:52.365715000	
335	May 19, 2016 13:16:52.365871000	
336	May 19, 2016 13:16:52.365909000	
337	May 19, 2016 13:16:52.366243000	
338	May 19, 2016 13:16:52.366319000	
339	May 19, 2016 13:16:52.366366000	
340	May 19, 2016 13:16:52.369802000	
341	May 19, 2016 13:16:52.369803000	
342	May 19, 2016 13:16:52.369965000	
343	May 19, 2016 13:16:52.371038000	0.005323000
344	May 19, 2016 13:16:52.371158000	0.005287000
345	May 19, 2016 13:16:52.371322000	0.005413000
346	May 19, 2016 13:16:52.371843000	0.005600000
347	May 19, 2016 13:16:52.371844000	0.005525000
348	May 19, 2016 13:16:52.371844000	0.005478000
349	May 19, 2016 13:16:52.375172000	0.005370000
350	May 19, 2016 13:16:52.375170000	
351	May 19, 2016 13:16:52.375278000	0.005475000
352	May 19, 2016 13:16:52.375277000	
353	May 19, 2016 13:16:52.375330000	0.005365000
354	May 19, 2016 13:16:52.375328000	
355	May 19, 2016 13:16:52.379116000	
356	May 19, 2016 13:16:52.379118000	
357	May 19, 2016 13:16:52.379556000	
358	May 19, 2016 13:16:52.379557000	
359	May 19, 2016 13:16:52.384688000	
360	May 19, 2016 13:16:52.384820000	
361	May 19, 2016 13:16:52.384821000	
362	May 19, 2016 13:16:52.389320000	
363	May 19, 2016 13:16:52.389322000	
364	May 19, 2016 13:16:52.389541000	
365	May 19, 2016 13:16:52.390850000	
366	May 19, 2016 13:16:52.391164000	
367	May 19, 2016 13:16:52.391238000	
368	May 19, 2016 13:16:52.391642000	
369	May 19, 2016 13:16:52.391641000	
370	May 19, 2016 13:16:52.391654000	
371	May 19, 2016 13:16:52.391649000	
372	May 19, 2016 13:16:52.391687000	
373	May 19, 2016 13:16:52.391704000	
374	May 19, 2016 13:16:52.391706000	
375	May 19, 2016 13:16:52.391708000	
376	May 19, 2016 13:16:52.391709000	
377	May 19, 2016 13:16:52.391711000	
378	May 19, 2016 13:16:52.391712000	
379	May 19, 2016 13:16:52.391714000	
380	May 19, 2016 13:16:52.392707000	
381	May 19, 2016 13:16:52.392708000	
382	May 19, 2016 13:16:52.394309000	
383	May 19, 2016 13:16:52.394324000	
384	May 19, 2016 13:16:52.397175000	
385	May 19, 2016 13:16:52.397304000	
386	May 19, 2016 13:16:52.397438000	
387	May 19, 2016 13:16:52.397442000	
388	May 19, 2016 13:16:52.397444000	
389	May 19, 2016 13:16:52.397445000	
390	May 19, 2016 13:16:52.397447000	
391	May 19, 2016 13:16:52.397448000	
392	May 19, 2016 13:16:52.398240000	
393	May 19, 2016 13:16:52.398346000	
394	May 19, 2016 13:16:52.399476000	
395	May 19, 2016 13:16:52.399504000	
396	May 19, 2016 13:16:52.399621000	
397	May 19, 2016 13:16:52.401676000	
398	May 19, 2016 13:16:52.401757000	
399	May 19, 2016 13:16:52.401855000	
400	May 19, 2016 13:16:52.402222000	
401	May 19, 2016 13:16:52.404908000	
402	May 19, 2016 13:16:52.407316000	
403	May 19, 2016 13:16:52.407323000	
404	May 19, 2016 13:16:52.407396000	
405	May 19, 2016 13:16:52.407437000	
406	May 19, 2016 13:16:52.408822000	
407	May 19, 2016 13:16:52.412562000	
408	May 19, 2016 13:16:52.415818000	
409	May 19, 2016 13:16:52.421065000	
410	May 19, 2016 13:16:52.430305000	
411	May 19, 2016 13:16:52.435569000	
412	May 19, 2016 13:16:52.439748000	
413	May 19, 2016 13:16:52.439900000	
414	May 19, 2016 13:16:52.439947000	
415	May 19, 2016 13:16:52.441829000	
416	May 19, 2016 13:16:52.441911000	
417	May 19, 2016 13:16:52.442475000	
418	May 19, 2016 13:16:52.442475000	
419	May 19, 2016 13:16:52.443371000	
420	May 19, 2016 13:16:52.446401000	
421	May 19, 2016 13:16:52.446620000	
422	May 19, 2016 13:16:52.446622000	0.052298000
423	May 19, 2016 13:16:52.447555000	
424	May 19, 2016 13:16:52.447558000	
425	May 19, 2016 13:16:52.447559000	
426	May 19, 2016 13:16:52.447561000	
427	May 19, 2016 13:16:52.452462000	
428	May 19, 2016 13:16:52.452552000	
429	May 19, 2016 13:16:52.452600000	
430	May 19, 2016 13:16:52.452725000	
431	May 19, 2016 13:16:52.454987000	
432	May 19, 2016 13:16:52.455017000	
433	May 19, 2016 13:16:52.455183000	
434	May 19, 2016 13:16:52.455981000	
435	May 19, 2016 13:16:52.456281000	
436	May 19, 2016 13:16:52.456330000	
437	May 19, 2016 13:16:52.456475000	
438	May 19, 2016 13:16:52.456548000	
439	May 19, 2016 13:16:52.456646000	
440	May 19, 2016 13:16:52.457774000	
441	May 19, 2016 13:16:52.457856000	
442	May 19, 2016 13:16:52.457884000	
443	May 19, 2016 13:16:52.460171000	
444	May 19, 2016 13:16:52.460279000	
445	May 19, 2016 13:16:52.460323000	
446	May 19, 2016 13:16:52.461517000	
447	May 19, 2016 13:16:52.461686000	
448	May 19, 2016 13:16:52.462353000	0.060498000
449	May 19, 2016 13:16:52.462356000	
450	May 19, 2016 13:16:52.462357000	
451	May 19, 2016 13:16:52.462359000	0.005811000
452	May 19, 2016 13:16:52.464557000	
453	May 19, 2016 13:16:52.464592000	
454	May 19, 2016 13:16:52.471544000	0.006987000
455	May 19, 2016 13:16:52.471669000	0.007077000
456	May 19, 2016 13:16:52.475371000	
457	May 19, 2016 13:16:52.481106000	0.005735000
458	May 19, 2016 13:16:52.492924000	
459	May 19, 2016 13:16:52.498066000	
460	May 19, 2016 13:16:52.498176000	
461	May 19, 2016 13:16:52.498210000	
462	May 19, 2016 13:16:52.498614000	
463	May 19, 2016 13:16:52.498615000	
464	May 19, 2016 13:16:52.498897000	
465	May 19, 2016 13:16:52.499626000	0.006702000
466	May 19, 2016 13:16:52.503582000	0.005516000
467	May 19, 2016 13:16:52.503583000	0.005407000
468	May 19, 2016 13:16:52.503583000	0.005373000
469	May 19, 2016 13:16:52.504515000	0.005901000
470	May 19, 2016 13:16:52.504516000	0.005901000
471	May 19, 2016 13:16:52.504517000	0.005620000
472	May 19, 2016 13:16:52.504308000	
473	May 19, 2016 13:16:52.504364000	
474	May 19, 2016 13:16:52.504407000	
475	May 19, 2016 13:16:52.504654000	
476	May 19, 2016 13:16:52.506818000	
477	May 19, 2016 13:16:52.510132000	0.005768000
478	May 19, 2016 13:16:52.510182000	0.005775000
479	May 19, 2016 13:16:52.510183000	0.005529000
480	May 19, 2016 13:16:52.510534000	
481	May 19, 2016 13:16:52.510575000	
482	May 19, 2016 13:16:52.510697000	
483	May 19, 2016 13:16:52.511564000	
484	May 19, 2016 13:16:52.511701000	
485	May 19, 2016 13:16:52.511701000	
486	May 19, 2016 13:16:52.511894000	
487	May 19, 2016 13:16:52.511951000	
488	May 19, 2016 13:16:52.512088000	0.005270000
489	May 19, 2016 13:16:52.512119000	
490	May 19, 2016 13:16:52.513100000	
491	May 19, 2016 13:16:52.513131000	
492	May 19, 2016 13:16:52.513314000	
493	May 19, 2016 13:16:52.515778000	0.005244000
494	May 19, 2016 13:16:52.515857000	0.005282000
495	May 19, 2016 13:16:52.516952000	0.006255000
496	May 19, 2016 13:16:52.516992000	0.005428000
497	May 19, 2016 13:16:52.516994000	0.005293000
